7 0.00018 0.2137148179 0.017100073 0.0146522233 -0.011704026 0.0434722855 -0.044188898
7 0.0003 0.2174588308 0.014919114 0.0142056941 -0.011508875 0.0461090019 -0.0485951714
12 0.0005 0.2279367065 0.0128599719 0.014527897 -0.0124878464 0.036472701 -0.0461982196
12 0.0008 0.209634265 0.0071520726 0.0128844384 -0.0111646488 0.0265807804 -0.0317672809
32 0.0006 0.5433559381 0.0704612522 0.0439748863 -0.0336501192 0.0942528033 -0.0788277782
32 0.0008 0.4707516366 0.0203663129 0.024674971 -0.0218482038 0.0301575741 -0.0397630795
32 0.0014 0.3296991713 0.0159997382 0.0171278498 -0.0161576261 0.0150363509 -0.014001887
32 0.0024 0.2444950734 0.0127043248 0.0181269896 -0.0172429052 0.0058920601 -0.0086511288
32 0.0055 0.1838078299 0.0129533064 0.0137609335 -0.0129332572 0.0105761833 -0
60 0.0014 0.3484525559 0.0496988973 0.0442371853 -0.0444944602 0.0166567842 -0.0092960136
60 0.002 0.3273953313 0.0244215886 0.0246051145 -0.0235512857 0.0018727904 -0.0150575868
60 0.0032 0.2522042195 0.0159757942 0.018354794 -0.0175548386 0.0038054948 -0.0053318618
60 0.008 0.1880225897 0.0181526236 0.0151435279 -0.0136071753 0         -0.002851553
120 0.0032 0.4175763486 0.030533327 0.0280859798 -0.0211795736 0.009021146 -0.006755361
120 0.0055 0.2210884804 0.0142138126 0.0123604894 -0.0109597821 0.0032285231 -0.0051815737
120 0.025 0.1190307165 0.0240034565 0.0157861509 -0.0152392869 0.0010600585 -0.0003624448
650 0.013 0.2456824524 0.0357441601 0.0334816279 -0.0307171238 0.0064972512 -0.002185477
650 0.032 0.090263506 0.0405802883 0.0255880266 -0.0257342748 0.0028543896 -0.0010707719
