    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      1      0     -1
    9 101888  46588  42628  12672
   10 102765  46878  41673  14214
   11 101673  45408  39868  16397
   12  98456  43513  37647  17296
   13  96900  42307  36170  18423
   14  96533  41820  34742  19971
   15  96738  41333  34043  21362
   16  96878  40380  32415  24083
   17  93867  38715  30820  24332
   18  90801  37170  29235  24396
   19  87351  35355  27621  24375
   20  84560  34020  25960  24580
   21  82643  32913  25016  24714
   22  80614  31974  23605  25035
   23  77932  30944  22359  24629
   24  75765  29938  21188  24639
   25  74537  28840  20496  25201
   26  72378  27571  19242  25565
   27  70143  26684  18451  25008
   28  68300  25276  17564  25460
   29  66822  24874  16812  25136
   30  64643  23893  16167  24583
   31  63021  22876  15415  24730
   32  61665  21890  14885  24890
   33  59401  20835  14211  24355
   34  58568  20030  13372  25166
   35  56771  19205  13034  24532
   36  55421  18605  12479  24337
   37  53883  17982  12096  23805
   38  52556  17282  11540  23734
   39  51533  16528  11268  23737
   40  50309  16118  10827  23364
   41  49393  15725  10561  23107
   42  48497  15133  10125  23239
   43  46924  14583   9799  22542
   44  45932  14047   9578  22307
   45  45071  13784   9310  21977
   46  44073  13311   8855  21907
   47  43383  12843   8624  21916
   48  42648  12425   8508  21715
   49  41558  12401   8431  20726
   50  40655  11667   8102  20886
   51  40390  11588   7796  21006
   52  39272  11092   7710  20470
   53  38325  10674   7549  20102
   54  37769  10420   7256  20093
   55  37002  10043   7101  19858
   56  36354   9864   7008  19482
   57  36052   9650   6542  19860
   58  35542   9335   6705  19502
   59  34627   9280   6653  18694
   60  34061   9130   6337  18594
   61  33994   8865   6329  18800
   62  33087   8414   6323  18350
   63  32567   8238   5904  18425
   64  32305   8034   6109  18162
   65  31796   7759   5817  18220
   66  31000   7711   5729  17560
   67  30305   7664   5591  17050
   68  29926   7357   5536  17033
