    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      1      0      0      1
    9  83432  35206  33323  14903
   10  85835  35860  33275  16700
   11  88183  35864  32179  20140
   12  87490  34995  31124  21371
   13  86749  34397  30065  22287
   14  85989  33743  28106  24140
   15  85156  32789  26926  25441
   16  84945  31657  25688  27600
   17  83018  30594  24145  28279
   18  80958  29810  23183  27965
   19  79168  28727  22001  28440
   20  76330  27883  20805  27642
   21  74565  26559  19866  28140
   22  72342  25546  18229  28567
   23  70346  24912  17529  27905
   24  68197  24154  16639  27404
   25  66451  23282  15800  27369
   26  64566  22687  15225  26654
   27  62950  21754  14308  26888
   28  61556  21095  13898  26563
   29  59734  20328  13038  26368
   30  58204  19459  12559  26186
   31  57256  18584  11968  26704
   32  55664  17864  11644  26156
   33  54434  17046  11222  26166
   34  53193  16381  10711  26101
   35  51896  16021  10293  25582
   36  50562  15407  10216  24939
   37  49782  14919   9813  25050
   38  48933  14340   9374  25219
   39  47410  13928   9087  24395
   40  46923  13557   8840  24526
   41  45671  13230   8669  23772
   42  44764  12588   8209  23967
   43  44000  12177   8313  23510
   44  43098  12103   7860  23135
   45  41984  11420   7627  22937
   46  41428  11228   7513  22687
   47  40765  10945   7319  22501
   48  40219  10719   7081  22419
   49  39418  10092   6978  22348
   50  38537  10118   6755  21664
   51  37713   9770   6698  21245
   52  37237   9536   6481  21220
   53  36531   9317   6335  20879
   54  35540   9044   6125  20371
   55  35125   8620   5964  20541
   56  34545   8606   5855  20084
   57  34080   8379   5726  19975
   58  33508   8133   5584  19791
   59  33265   7976   5413  19876
   60  32380   7731   5284  19365
   61  31618   7565   5378  18675
   62  31401   7411   5107  18883
   63  30978   7025   5122  18831
   64  30594   6972   4877  18745
   65  29896   6816   4833  18247
   66  29665   6762   4689  18214
   67  29080   6471   4729  17880
   68  28466   6467   4633  17366
