    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      1      0     -1
    9 156296  71184  66026  19086
   10 160901  72932  65177  22792
   11 161742  72175  63332  26235
   12 159203  69874  60235  29094
   13 156993  67749  57656  31588
   14 157665  67610  55966  34089
   15 158403  66648  54671  37084
   16 160009  66478  52316  41215
   17 156803  63971  50256  42576
   18 152428  61618  47709  43101
   19 146643  58770  44948  42925
   20 141657  55870  41970  43817
   21 137674  53878  40296  43500
   22 133985  52452  38096  43437
   23 130409  50962  36221  43226
   24 126682  49162  34451  43069
   25 124656  47244  32887  44525
   26 121534  45304  31215  45015
   27 117591  43744  29731  44116
   28 114448  41805  28376  44267
   29 112041  41107  27293  43641
   30 108515  39257  26226  43032
   31 106362  37720  25185  43457
   32 103648  36123  24202  43323
   33 101145  34429  23362  43354
   34  99125  33373  22041  43711
   35  96538  31950  21401  43187
   36  94032  31022  20519  42491
   37  91564  29954  19871  41739
   38  89453  29024  19047  41382
   39  88025  27872  18626  41527
   40  86276  26837  17894  41545
   41  83925  26231  17302  40392
   42  82214  25234  16747  40233
   43  80231  24582  16142  39507
   44  78389  23511  15922  38956
   45  77219  23085  15431  38703
   46  75662  22217  14687  38758
   47  74253  21620  14444  38189
   48  73148  20805  14088  38255
   49  71197  20678  13999  36520
   50  70233  19641  13501  37091
   51  69050  19346  12958  36746
   52  67629  18495  12858  36276
   53  66009  18074  12471  35464
   54  65066  17673  12114  35279
   55  64063  16998  11831  35234
   56  62901  16668  11607  34626
   57  61907  16325  11113  34469
   58  60907  15721  11077  34109
   59  59748  15414  11127  33207
   60  58754  15274  10532  32948
   61  58146  14826  10635  32685
   62  57207  14244  10520  32443
   63  56284  13918   9883  32483
   64  55720  13656  10117  31947
   65  54666  13208   9757  31701
   66  53687  12895   9568  31224
   67  52444  12921   9300  30223
   68  51745  12452   9232  30061
