3	0.00013	0.00164899	0.00214621	0.00144145
5	0.00013	0.00303414	0.0039065	0.002665
6	0.00013	0.0037775	0.00484172	0.00332515
8	0.00013	0.00532922	0.00678405	0.00470793
4	0.0002	0.00186496	0.00244738	0.00162097
6	0.0002	0.00309051	0.00400346	0.00270405
8	0.0002	0.004401	0.00565344	0.00386835
12	0.0002	0.00718759	0.00912575	0.00635173
13.5	0.0002	0.00826946	0.010452	0.00732261
16	0.0002	0.0100897	0.0126855	0.0089646
8	0.0005	0.00277974	0.00366203	0.00240818
12	0.0005	0.00468622	0.00607176	0.004094
15	0.0005	0.00618591	0.00793184	0.00543417
16	0.0005	0.00669131	0.00855992	0.00588781
17	0.0005	0.00720017	0.00919468	0.00634437
18	0.0005	0.00771086	0.00988263	0.00680232
19	0.0005	0.00822585	0.0107578	0.00726327
20	0.0005	0.00874165	0.0116336	0.00772667
21	0.0005	0.00925855	0.0125102	0.00819335
22	0.0005	0.0103691	0.0133764	0.00800629
23	0.0005	0.012189	0.01423	0.00703821
24	0.0005	0.0136998	0.015077	0.00652211
25	0.0005	0.0144401	0.0159074	0.00713291
26	0.0005	0.0151804	0.0167378	0.0077437
27	0.0005	0.015905	0.0175471	0.00836372
28	0.0005	0.0166278	0.018354	0.00898477
29	0.0005	0.0173446	0.0191538	0.00960296
30	0.0005	0.0180454	0.0199345	0.0102134
45	0.0005	0.0278298	0.0307291	0.0188789
12	0.0013	0.00274633	0.00367196	0.00235491
20	0.0013	0.00537716	0.00726697	0.00468864
30	0.0013	0.0112416	0.0124699	0.00613794
40	0.0013	0.0154781	0.0172242	0.00977072
60	0.0013	0.0229937	0.025489	0.0164522
65	0.0013	0.0246903	0.0273302	0.0179924
70	0.0013	0.0263299	0.0290963	0.019486
80	0.0013	0.0294269	0.032423	0.0223345
90	0.0013	0.0323092	0.035512	0.025014
12	0.002	0.00205817	0.0028083	0.00174218
20	0.002	0.00416625	0.0056867	0.00360054
40	0.002	0.0121776	0.0136114	0.00754516
60	0.002	0.0182276	0.0202913	0.012862
80	0.002	0.0234366	0.0259305	0.017588
130	0.002	0.033787	0.0368459	0.0272396
135	0.002	0.0346667	0.0377601	0.0280766
30	0.005	0.00468859	0.00529283	0.00233574
60	0.005	0.0102087	0.0115503	0.0069095
80	0.005	0.0133871	0.0150053	0.00971188
100	0.005	0.0161667	0.0179739	0.0122356
130	0.005	0.0197038	0.0217131	0.0155185
200	0.005	0.0260842	0.0282801	0.0215528
257	0.005	0.0299883	0.0322402	0.025301
80	0.013	0.0062579	0.0071896	0.00425769
300	0.013	0.016621	0.0179594	0.0137981
450	0.013	0.0200789	0.0213921	0.0171496
650	0.013	0.0230974	0.0243669	0.0201127
725	0.013	0.0239685	0.0252161	0.0209721
100	0.032	0.00272087	0.00323034	0.00174732
200	0.032	0.00519453	0.00585363	0.00387762
650	0.032	0.00985298	0.0105207	0.00823595
1000	0.032	0.0113876	0.0120162	0.00972501
2000	0.032	0.0135459	0.0141278	0.0118395
2150	0.032	0.0137497	0.014327	0.0120408
3000	0.032	0.0146419	0.0151988	0.0129198
