 0.48318E-01  0.48318E-01  0.48318E-01
 0.47961E-01  0.47961E-01  0.47961E-01
 0.47587E-01  0.47587E-01  0.47587E-01
 0.47202E-01  0.47202E-01  0.47202E-01
 0.46801E-01  0.46801E-01  0.46801E-01
 0.46386E-01  0.46386E-01  0.46386E-01
 0.45958E-01  0.45958E-01  0.45958E-01
 0.45514E-01  0.45514E-01  0.45514E-01
 0.45053E-01  0.45053E-01  0.45053E-01
 0.44578E-01  0.44578E-01  0.44578E-01
 0.44086E-01  0.44086E-01  0.44086E-01
 0.43582E-01  0.43582E-01  0.43582E-01
 0.43063E-01  0.43063E-01  0.43063E-01
 0.42530E-01  0.42530E-01  0.42530E-01
 0.41982E-01  0.41982E-01  0.41982E-01
 0.41422E-01  0.41422E-01  0.41422E-01
 0.40847E-01  0.40847E-01  0.40847E-01
 0.40257E-01  0.40257E-01  0.40257E-01
 0.39654E-01  0.39654E-01  0.39654E-01
 0.39040E-01  0.39040E-01  0.39040E-01
 0.38413E-01  0.38413E-01  0.38413E-01
 0.37775E-01  0.37775E-01  0.37775E-01
 0.37127E-01  0.37127E-01  0.37127E-01
 0.36467E-01  0.36467E-01  0.36467E-01
 0.35796E-01  0.35796E-01  0.35796E-01
 0.35117E-01  0.35117E-01  0.35117E-01
 0.34430E-01  0.34430E-01  0.34430E-01
 0.33733E-01  0.33733E-01  0.33733E-01
 0.33030E-01  0.33030E-01  0.33030E-01
 0.32319E-01  0.32319E-01  0.32319E-01
 0.31603E-01  0.31603E-01  0.31603E-01
 0.30881E-01  0.30881E-01  0.30881E-01
 0.30154E-01  0.30154E-01  0.30154E-01
 0.29426E-01  0.29426E-01  0.29426E-01
 0.28695E-01  0.28695E-01  0.28695E-01
 0.27962E-01  0.27962E-01  0.27962E-01
 0.27229E-01  0.27229E-01  0.27229E-01
 0.26497E-01  0.26497E-01  0.26497E-01
 0.25766E-01  0.25766E-01  0.25766E-01
 0.25039E-01  0.25039E-01  0.25039E-01
 0.24314E-01  0.24314E-01  0.24314E-01
 0.23595E-01  0.23595E-01  0.23595E-01
 0.22879E-01  0.22879E-01  0.22879E-01
