6.5			0.00013			0.0046030923		0.0007247885			0.0005719209		-0.0005177367			0.0003640549		-0.0003125391
6.5			0.0002			0.0042226109		0.0006086445			0.0004272423		-0.00038873			0.0003436273		-0.0002962301
10			0.0005			0.0045566463		0.0004968353			0.0004438997		-0.0003767797			0.0003173146		-0.000247731
12			0.0005			0.00503367		0.0006061469			0.0005350614		-0.0004886423			0.0002315588		-0.0001418297
22			0.0005			0.0094464264		0.0028204317			0.0012403459		-0.0012497989			0.0007215603		-0.0005244286
25			0.0005			0.0131580173		0.0013406787			0.0009826792		-0.000938421			0.0007649887		-0.000618148
30			0.0013			0.0111392086		0.0012937103			0.0010517366		-0.0010395478			0.0004845856		-0.0004806184
30			0.002			0.007714335		0.0013622881			0.0010439907		-0.0010275777			0.0002540649		-0.000291022
30			0.005			0.0037386072		0.002090979			0.0010346175		-0.0010675288			0.0001125903		-6.07415919171065E-005
80			0.0013			0.0403713862		0.0053864442			0.0038426998		-0.0037415455			0.00131383		-0.0013872232
80			0.002			0.0220756214		0.0028455112			0.0019448227		-0.0020453185			0.0005901277		-0.000534184
80			0.005			0.0102329683		0.0018338755			0.0011685127		-0.0012309281			0.0002130598		-0.0002826212
160			0.005			0.0185964916		0.0025725005			0.0012606161		-0.0013766972			0.0004111028		-0.0002792339
160			0.013			0.01211374		0.0010720357			0.0005462494		-0.0006265497			0.0002955928		-0.0002390441
160			0.032			0.0045501641		0.0022583326			0.001244121		-0.0012799639			0.0001524215		-8.81033636759465E-005
600			0.013			0.0154196		0.00337227			0.00216357		-0.00201897			0.000134097		-0.000222313
600			0.032			0.0097831416		0.0029154396			0.0021164395		-0.0022611461			0.0002892452		-0.0001220208
