3.0	0.00013	0.00255	0.00059	0.00118	0.00103	0.00063	0.00032
5.0	0.00013	0.00566	0.00117	0.00200	0.00193	0.00054	0.00045
11.5    0.00020 0.01305 0.00232 0.00484 0.00512 0       0
12.0	0.00050	0.00586	0.00112	0.00221	0.00213	0.00128	0.00111
25.0	0.00050	0.02786	0.00409	0.01189	0.00703	0.00989	0.00201
40.0	0.00200	0.01008	0.00338	0.00552	0.00545	0.00054	0.00104
60.0	0.00200	0.02685	0.00583	0.00959	0.00916	0.00312	0.00186
80.0	0.00500	0.01294	0.00389	0.00635	0.00603	0.00084	0.00030
130.0	0.00200	0.02571	0.01111	0.01718	0.01780	0.00291	0.00013
130.0	0.00500	0.00606	0.00627	0.00955	0.00928	0.00031	0.00048
450.0	0.01300	0.01553	0.00660	0.00993	0.00982	0.00127	0.00019
