12.0    0.00020  0.0074	 0.0033	 0.0010	 0.0020	 0.0012	 0.0015
15.0    0.00130  0.0021	 0.0007	 0.0003	 0.0005	 0.0004	 0.0004
25.0    0.00050  0.0152	 0.0027	 0.0015	 0.0019	 0.0025	 0.0029
30.0    0.00130  0.0110	 0.0023	 0.0022	 0.0017	 0.0019	 0.0021
40.0    0.00500  0.0041	 0.0014	 0.0017	 0.0016	 0.0009	 0.0007
80.0    0.00200  0.0208	 0.0043	 0.0041	 0.0036	 0.0029	 0.0032
120.0   0.00500  0.0110	 0.0040	 0.0029	 0.0019	 0.0015	 0.0015
180.0   0.01300  0.0050	 0.0027	 0.0014	 0.0027	 0.0006	 0.0006
600.0   0.01300  0.0089	 0.0067	 0.0057	 0.0048	 0.0008	 0.0008















