    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      0      1     -1
    9 217691 100497  92531  24663
   10 233086 104879  94552  33655
   11 243552 107617  95635  40300
   12 246728 107224  94124  45380
   13 246759 105850  90997  49912
   14 246725 104735  87542  54448
   15 246958 103825  86166  56967
   16 247487 102082  82968  62437
   17 244919  99789  79037  66093
   18 238693  96410  75831  66452
   19 232003  93198  72019  66786
   20 225489  90058  68345  67086
   21 219780  86540  65035  68205
   22 214180  84814  62409  66957
   23 208347  81943  58861  67543
   24 202785  78878  56095  67812
   25 199233  76618  53426  69189
   26 194543  74713  51236  68594
   27 189064  71805  49106  68153
   28 184413  69507  46864  68042
   29 180034  67230  44993  67811
   30 175941  64120  42980  68841
   31 170966  62111  41118  67737
   32 165994  59624  39561  66809
   33 161918  57211  38022  66685
   34 160920  56013  36989  67918
   35 156799  54457  35631  66711
   36 153824  52562  34470  66792
   37 150462  50717  33372  66373
   38 146642  48978  32462  65202
   39 143889  47344  31395  65150
   40 141578  45931  30106  65541
   41 137752  43938  29376  64438
   42 135083  43098  28453  63532
   43 132592  41825  27717  63050
   44 129370  40246  26920  62204
   45 127377  39203  25913  62261
   46 124302  37908  25159  61235
   47 122146  36584  24632  60930
   48 119687  35730  24401  59556
   49 116844  34935  23343  58566
   50 114495  33485  22661  58349
   51 112393  32907  22186  57300
   52 110963  31807  21713  57443
   53 108711  30995  21162  56554
   54 106556  29932  20840  55784
   55 104159  29257  20283  54619
   56 102390  28622  19631  54137
   57 101615  27723  19315  54577
   58  99350  26946  19070  53334
   59  98139  26448  18644  53047
   60  96854  25733  18042  53079
   61  94733  25190  17811  51732
   62  93424  24491  17547  51386
   63  91783  23958  17073  50752
   64  90261  23031  16615  50615
   65  89131  22587  16704  49840
   66  87120  22397  15974  48749
   67  85282  21667  15888  47727
   68  84280  21093  15549  47638
