    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      1      0     -1
    9 198579  92610  85754  20215
   10 203488  94023  84227  25238
   11 203512  92677  81861  28974
   12 199769  89528  78017  32224
   13 196237  86552  74640  35045
   14 196072  85850  72294  37928
   15 195830  84447  70272  41111
   16 196492  82743  67663  46086
   17 191627  79729  64420  47478
   18 186037  76616  61229  48192
   19 179363  72851  57550  48962
   20 172135  69614  53736  48785
   21 166798  67294  51558  47946
   22 162619  65324  48582  48713
   23 157552  63130  46116  48306
   24 152635  61290  43934  47411
   25 149574  58600  41955  49019
   26 145567  56298  39872  49397
   27 140666  54291  38020  48355
   28 136633  51979  36121  48533
   29 133632  50637  34746  48249
   30 129507  48831  33435  47241
   31 127112  46600  32057  48455
   32 123042  44950  30843  47249
   33 119833  42903  29454  47476
   34 117427  41337  27953  48137
   35 113853  39747  27050  47056
   36 111250  38280  26060  46910
   37 107989  37185  25200  45604
   38 105327  35971  24337  45019
   39 103711  34781  23517  45413
   40 101631  33339  22623  45669
   41  98737  32364  21993  44380
   42  96644  31454  21114  44076
   43  94544  30436  20514  43594
   44  92266  29252  20032  42982
   45  90656  28595  19544  42517
   46  88629  27371  18700  42558
   47  86949  26759  18367  41823
   48  85390  25702  17875  41813
   49  83341  25524  17682  40135
   50  81983  24363  17153  40467
   51  80855  23909  16532  40414
   52  78834  22936  16055  39843
   53  76798  22413  15769  38616
   54  75585  21662  15369  38554
   55  74305  21093  14869  38343
   56  72908  20519  14523  37866
   57  71785  20171  14009  37605
   58  70631  19375  14005  37251
   59  69413  19176  13866  36371
   60  68203  18917  13292  35994
   61  67196  18206  13354  35636
   62  66098  17587  13062  35449
   63  64913  17184  12366  35363
   64  64302  16778  12615  34909
   65  63186  16263  12204  34719
   66  61700  15958  11963  33779
   67  60468  15796  11546  33126
   68  59645  15266  11574  32805
