    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      0      0      0
    9  61443  28965  26963   5515
   10  65081  30441  27058   7582
   11  66963  31101  27210   8652
   12  67667  30457  26091  11119
   13  66434  29183  24894  12357
   14  67086  29396  24546  13144
   15  67308  28694  23574  15040
   16  68132  28958  23079  16095
   17  67455  27929  22170  17356
   18  66023  26888  21193  17942
   19  63413  25667  19673  18073
   20  60448  24101  18172  18175
   21  58116  23146  17405  17565
   22  56317  22475  16428  17414
   23  55173  21843  15585  17745
   24  53252  21256  14914  17082
   25  52103  20025  13870  18208
   26  50846  19293  13479  18074
   27  49039  18585  12757  17697
   28  47366  17903  12076  17387
   29  46088  17447  11666  16975
   30  45040  16597  11249  17194
   31  44439  15973  10843  17623
   32  42825  15544  10366  16915
   33  42273  14740   9983  17550
   34  41154  14342   9510  17302
   35  40003  13820   9236  16947
   36  39002  13287   8866  16849
   37  37826  12806   8522  16498
   38  36873  12558   8220  16095
   39  36521  12281   8008  16232
   40  35813  11431   7649  16733
   41  34424  11149   7288  15987
   42  33734  10868   7148  15718
   43  33376  10629   6877  15870
   44  32370  10152   6776  15442
   45  31928   9826   6610  15492
   46  31228   9441   6354  15433
   47  30593   9336   6354  14903
   48  30121   8827   5999  15295
   49  29387   8760   5965  14662
   50  29165   8480   5822  14863
   51  28483   8206   5608  14669
   52  27845   7873   5482  14490
   53  27149   7816   5332  14001
   54  26717   7544   5246  13927
   55  26408   7392   5017  13999
   56  26087   7180   4792  14115
   57  25184   7037   4823  13324
   58  24841   6670   4654  13517
   59  24577   6572   4631  13374
   60  24094   6477   4494  13123
   61  23608   6164   4487  12957
   62  23430   6054   4349  13027
   63  22968   6002   4179  12787
   64  22696   5874   4213  12609
   65  22216   5690   4108  12418
   66  21841   5473   4009  12359
   67  21454   5477   3865  12112
   68  21214   5278   3903  12033
