    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      0      1     -1
    9  42070  19532  17504   5034
   10  45242  20004  18057   7181
   11  47444  20802  18003   8639
   12  48023  20572  18023   9428
   13  48916  20502  17566  10848
   14  49016  20217  17177  11622
   15  48917  19814  16862  12241
   16  49278  19677  16055  13546
   17  48898  19147  15209  14542
   18  47276  18460  14575  14241
   19  46205  17914  13817  14474
   20  45170  17360  13032  14778
   21  43740  16373  12521  14846
   22  42660  16079  12159  14422
   23  41490  15649  11107  14734
   24  40604  14940  10791  14873
   25  39857  14620   9909  15328
   26  38911  14163   9660  15088
   27  38063  13806   9328  14929
   28  37115  13546   8817  14752
   29  36204  12838   8492  14874
   30  35780  12454   8183  15143
   31  34544  11950   7815  14779
   32  33561  11547   7502  14512
   33  33192  10961   7249  14982
   34  32707  10553   6974  15180
   35  32242  10455   6784  15003
   36  31493  10199   6470  14824
   37  30639   9666   6339  14634
   38  30086   9425   5974  14687
   39  29369   9089   5952  14328
   40  28887   8925   5717  14245
   41  28279   8480   5504  14295
   42  27869   8229   5399  14241
   43  27523   7956   5134  14433
   44  26784   7687   5172  13925
   45  26333   7477   4902  13954
   46  25788   7324   4740  13724
   47  25187   7068   4703  13416
   48  24818   6949   4501  13368
   49  24401   6714   4317  13370
   50  23814   6385   4350  13079
   51  23602   6446   4094  13062
   52  22987   6120   4126  12741
   53  22637   6059   3940  12638
   54  22133   5728   3912  12493
   55  21630   5616   3803  12211
   56  21276   5600   3618  12058
   57  21453   5356   3611  12486
   58  20676   5252   3490  11934
   59  20692   5129   3449  12114
   60  20145   5075   3366  11704
   61  19836   4818   3358  11660
   62  19416   4779   3315  11322
   63  19508   4588   3195  11725
   64  18808   4589   3195  11024
   65  18540   4465   3116  10959
   66  18348   4397   3014  10937
   67  17714   4327   3004  10383
   68  17452   3985   3019  10448
