 Parton Distribution Table : CTEQ4F3                               
  Ordr, Nfl, lambda        Qmass 1,  2,  3,         4,  5,  6
    2.    3. 0.3850    0.000    0.000    0.200    1.600    5.000  180.000
   NX,  NT,  NfMx
   90   13    3
QINI, QMAX, (QV(I), I =0, NT)
 9.20692E-05 5.35502E-05 2.99534E-05 1.59324E-05 7.99596E-06 3.69782E-06
 1.52854E-06 5.15197E-07 1.06128E-07 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 2.33044E+05 1.79193E+05 1.35812E+05
 1.02900E+05 7.79616E+04 5.90461E+04 4.47186E+04 3.38550E+04 2.56295E+04
 1.93949E+04 1.46763E+04 1.11012E+04 8.39660E+03 6.34830E+03 4.79945E+03
 3.62696E+03 2.74081E+03 2.07029E+03 1.56379E+03 1.18072E+03 8.91519E+02
 6.72907E+02 5.07947E+02 3.83311E+02 2.89306E+02 2.18323E+02 1.64838E+02
 1.23964E+02 9.36597E+01 7.07824E+01 5.35478E+01 4.05377E+01 3.07330E+01
 2.33475E+01 1.77636E+01 1.35427E+01 1.03559E+01 7.94056E+00 6.11101E+00
 4.71803E+00 3.65855E+00 2.84671E+00 2.22386E+00 1.74297E+00 1.37092E+00
 1.08097E+00 8.55356E-01 6.76787E-01 5.37094E-01 4.25716E-01 3.37765E-01
 2.67714E-01 2.11956E-01 1.67444E-01 1.31968E-01 1.03648E-01 8.11093E-02
 6.31801E-02 4.89836E-02 3.77571E-02 2.89334E-02 2.20190E-02 1.66352E-02
 1.24820E-02 9.26938E-03 6.81549E-03 4.96039E-03 3.56864E-03 2.53702E-03
 1.77919E-03 1.23059E-03 8.37793E-04 5.61282E-04 3.68851E-04 2.38999E-04
 1.51445E-04 9.42719E-05 5.75573E-05 3.46482E-05 2.05619E-05 1.21677E-05
 7.18019E-06 4.26507E-06 2.52781E-06 1.48422E-06 8.31753E-07 4.27124E-07
 1.84626E-07 5.34409E-08 3.66830E-09 0.00000E+00 3.19764E+05 2.45017E+05
 1.84944E+05 1.39546E+05 1.05279E+05 7.93927E+04 5.98634E+04 4.51175E+04
 3.39990E+04 2.56084E+04 1.92856E+04 1.45168E+04 1.09254E+04 8.21833E+03
 6.18101E+03 4.64631E+03 3.49212E+03 2.62324E+03 1.97027E+03 1.47906E+03
 1.11021E+03 8.32926E+02 6.24867E+02 4.68576E+02 3.51383E+02 2.63425E+02
 1.97559E+02 1.47539E+02 1.10690E+02 8.30558E+01 6.23752E+01 4.68705E+01
 3.52657E+01 2.65865E+01 2.00712E+01 1.51822E+01 1.15181E+01 8.76183E+00
 6.68969E+00 5.12403E+00 3.94230E+00 3.04373E+00 2.35962E+00 1.83549E+00
 1.43309E+00 1.12187E+00 8.81529E-01 6.92716E-01 5.46110E-01 4.30066E-01
 3.39087E-01 2.67131E-01 2.10252E-01 1.65151E-01 1.29442E-01 1.01118E-01
 7.87177E-02 6.10075E-02 4.70684E-02 3.61092E-02 2.75449E-02 2.08706E-02
 1.57014E-02 1.17343E-02 8.68122E-03 6.36051E-03 4.61453E-03 3.31059E-03
 2.34834E-03 1.64434E-03 1.13670E-03 7.74443E-04 5.20173E-04 3.43582E-04
 2.24518E-04 1.44189E-04 9.15658E-05 5.75267E-05 3.60146E-05 2.24963E-05
 1.41677E-05 8.96250E-06 5.70202E-06 3.59059E-06 2.20303E-06 1.26791E-06
 6.55906E-07 2.79974E-07 7.86254E-08 5.53490E-09 0.00000E+00 4.27769E+05
 3.26721E+05 2.45688E+05 1.84671E+05 1.38779E+05 1.04239E+05 7.82786E+04
 5.87526E+04 4.40866E+04 3.30635E+04 2.47902E+04 1.85765E+04 1.39165E+04
 1.04194E+04 7.79889E+03 5.83388E+03 4.36277E+03 3.26057E+03 2.43617E+03
 1.81908E+03 1.35798E+03 1.01315E+03 7.55734E+02 5.63411E+02 4.19977E+02
 3.12927E+02 2.33220E+02 1.73045E+02 1.28979E+02 9.61342E+01 7.17052E+01
 5.35078E+01 3.99743E+01 2.99202E+01 2.24227E+01 1.68357E+01 1.26770E+01
 9.57083E+00 7.25212E+00 5.51289E+00 4.20956E+00 3.22580E+00 2.48226E+00
 1.91681E+00 1.48585E+00 1.15497E+00 9.01308E-01 7.03471E-01 5.50954E-01
 4.31091E-01 3.37769E-01 2.64473E-01 2.06926E-01 1.61599E-01 1.25946E-01
 9.78464E-02 7.57627E-02 5.84111E-02 4.48360E-02 3.42265E-02 2.59832E-02
 1.95957E-02 1.46755E-02 1.09198E-02 8.04475E-03 5.87072E-03 4.24339E-03
 3.03408E-03 2.14591E-03 1.49909E-03 1.03470E-03 7.04632E-04 4.73774E-04
 3.13911E-04 2.06303E-04 1.33751E-04 8.61340E-05 5.51825E-05 3.54281E-05
 2.28166E-05 1.48515E-05 9.70607E-06 6.34426E-06 4.07417E-06 2.52358E-06
 1.45336E-06 7.45181E-07 3.11727E-07 8.49730E-08 6.08120E-09 0.00000E+00
 5.61309E+05 4.27400E+05 3.20240E+05 2.39829E+05 1.79558E+05 1.34358E+05
 1.00505E+05 7.51376E+04 5.61544E+04 4.19415E+04 3.13150E+04 2.33659E+04
 1.74282E+04 1.29907E+04 9.67934E+03 7.20707E+03 5.36416E+03 3.98965E+03
 2.96619E+03 2.20368E+03 1.63661E+03 1.21460E+03 9.01112E+02 6.68094E+02
