    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      0      0      0
    9  18182   8172   7195   2815
   10  18802   8050   7045   3707
   11  18801   7938   6928   3935
   12  18428   7614   6508   4306
   13  18506   7553   6287   4666
   14  18617   7610   6044   4963
   15  18822   7512   6027   5283
   16  18827   7387   5646   5794
   17  18628   7094   5443   6091
   18  18109   6847   5199   6063
   19  17424   6742   5049   5633
   20  16963   6564   4732   5667
   21  16560   6249   4522   5789
   22  16403   6123   4287   5993
   23  15996   5926   4121   5949
   24  15619   5695   3915   6009
   25  15249   5508   3724   6017
   26  14744   5223   3538   5983
   27  14230   5062   3378   5790
   28  14055   5015   3260   5780
   29  13784   4840   3202   5742
   30  13502   4606   2956   5940
   31  13316   4512   2816   5988
   32  13143   4250   2763   6130
   33  12508   4033   2696   5779
   34  12269   3863   2558   5848
   35  11950   3735   2493   5722
   36  11642   3579   2271   5792
   37  11810   3575   2328   5907
   38  11308   3405   2270   5633
   39  11218   3211   2157   5850
   40  10884   3223   2121   5540
   41  10588   3139   2052   5397
   42  10346   2972   1915   5459
   43  10241   2962   1881   5398
   44  10102   2783   1889   5430
   45   9914   2780   1829   5305
   46   9581   2756   1731   5094
   47   9441   2644   1698   5099
   48   9325   2494   1665   5166
   49   9339   2480   1677   5182
   50   9064   2442   1559   5063
   51   8938   2350   1475   5113
   52   8853   2371   1540   4942
   53   8798   2372   1484   4942
   54   8512   2164   1480   4868
   55   8273   2090   1507   4676
   56   8194   2041   1410   4743
   57   8128   2042   1459   4627
   58   8080   1977   1285   4818
   59   8023   1973   1336   4714
   60   7745   1969   1288   4488
   61   7660   1824   1291   4545
   62   7528   1882   1221   4425
   63   7430   1820   1240   4370
   64   7463   1657   1230   4576
   65   7272   1694   1204   4374
   66   7183   1636   1143   4404
   67   7033   1599   1137   4297
   68   6914   1542   1135   4237
