    1      0      0      0      0
    2      0      0      0      0
    3      0      0      0      0
    4      0      0      0      0
    5      0      0      0      0
    6      0      0      0      0
    7      0      0      0      0
    8      0      0      0      0
    9  27280  11410  10869   5001
   10  28011  11801  10633   5577
   11  28883  11733  10570   6580
   12  28620  11439  10042   7139
   13  28446  11437   9909   7100
   14  27988  11151   9205   7632
   15  28168  10801   8684   8683
   16  27542  10440   8314   8788
   17  27078  10165   7776   9137
   18  26606   9752   7656   9198
   19  26023   9238   7206   9579
   20  24865   9146   6707   9012
   21  24360   8732   6465   9163
   22  23708   8419   5886   9403
   23  23008   8059   5680   9269
   24  22149   7931   5414   8804
   25  21753   7694   5262   8797
   26  21378   7477   4911   8990
   27  20716   7143   4588   8985
   28  20042   6940   4632   8470
   29  19792   6648   4276   8868
   30  19066   6324   4092   8650
   31  18747   6085   3948   8714
   32  18178   5800   3860   8518
   33  18022   5579   3674   8769
   34  17379   5269   3546   8564
   35  17090   5171   3390   8529
   36  16417   4969   3359   8089
   37  16220   4859   3201   8160
   38  16164   4708   3126   8330
   39  15601   4569   2930   8102
   40  15390   4568   2963   7859
   41  14880   4353   2848   7679
   42  14698   4249   2717   7732
   43  14514   3998   2774   7742
   44  14051   3922   2616   7513
   45  13847   3710   2581   7556
   46  13616   3667   2470   7479
   47  13432   3615   2384   7433
   48  13054   3574   2317   7163
   49  12786   3330   2365   7091
   50  12587   3336   2232   7019
   51  12414   3158   2252   7004
   52  12297   3066   2170   7061
   53  12082   3081   2124   6877
   54  11594   2964   2023   6607
   55  11483   2852   1992   6639
   56  11256   2809   1870   6577
   57  11242   2741   1805   6696
   58  10842   2643   1895   6304
   59  10908   2681   1860   6367
   60  10654   2681   1803   6170
   61  10285   2520   1794   5971
   62  10098   2455   1670   5973
   63  10002   2339   1666   5997
   64  10104   2327   1633   6144
   65   9684   2444   1640   5600
   66   9666   2220   1581   5865
   67   9444   2217   1608   5619
   68   9253   2174   1548   5531
