   0.1000E+01   0.1300E-03   0.2800E-03   0.2423E-03
   0.1041E+01   0.1300E-03   0.2986E-03   0.2588E-03
   0.1084E+01   0.1300E-03   0.3184E-03   0.2763E-03
   0.1128E+01   0.1300E-03   0.3393E-03   0.2948E-03
   0.1175E+01   0.1300E-03   0.3616E-03   0.3146E-03
   0.1223E+01   0.1300E-03   0.3852E-03   0.3355E-03
   0.1273E+01   0.1300E-03   0.4102E-03   0.3578E-03
   0.1325E+01   0.1300E-03   0.4367E-03   0.3814E-03
   0.1380E+01   0.1300E-03   0.4649E-03   0.4064E-03
   0.1436E+01   0.1300E-03   0.4946E-03   0.4329E-03
   0.1495E+01   0.1300E-03   0.5262E-03   0.4611E-03
   0.1557E+01   0.1300E-03   0.5596E-03   0.4909E-03
   0.1621E+01   0.1300E-03   0.5949E-03   0.5225E-03
   0.1687E+01   0.1300E-03   0.6324E-03   0.5559E-03
   0.1756E+01   0.1300E-03   0.6720E-03   0.5914E-03
   0.1828E+01   0.1300E-03   0.7139E-03   0.6289E-03
   0.1904E+01   0.1300E-03   0.7583E-03   0.6687E-03
   0.1982E+01   0.1300E-03   0.8053E-03   0.7108E-03
   0.2063E+01   0.1300E-03   0.8549E-03   0.7553E-03
   0.2148E+01   0.1300E-03   0.9074E-03   0.8025E-03
   0.2236E+01   0.1300E-03   0.9629E-03   0.8524E-03
   0.2328E+01   0.1300E-03   0.1022E-02   0.9051E-03
   0.2423E+01   0.1300E-03   0.1084E-02   0.9609E-03
   0.2523E+01   0.1300E-03   0.1149E-02   0.1020E-02
   0.2626E+01   0.1300E-03   0.1218E-02   0.1082E-02
   0.2734E+01   0.1300E-03   0.1291E-02   0.1148E-02
   0.2846E+01   0.1300E-03   0.1369E-02   0.1218E-02
   0.2963E+01   0.1300E-03   0.1450E-02   0.1292E-02
   0.3085E+01   0.1300E-03   0.1537E-02   0.1369E-02
   0.3212E+01   0.1300E-03   0.1627E-02   0.1452E-02
   0.3343E+01   0.1300E-03   0.1723E-02   0.1538E-02
   0.3481E+01   0.1300E-03   0.1824E-02   0.1630E-02
   0.3624E+01   0.1300E-03   0.1931E-02   0.1726E-02
   0.3772E+01   0.1300E-03   0.2043E-02   0.1828E-02
   0.3927E+01   0.1300E-03   0.2162E-02   0.1936E-02
   0.4088E+01   0.1300E-03   0.2287E-02   0.2049E-02
   0.4256E+01   0.1300E-03   0.2419E-02   0.2169E-02
   0.4431E+01   0.1300E-03   0.2558E-02   0.2295E-02
   0.4613E+01   0.1300E-03   0.2705E-02   0.2428E-02
   0.4802E+01   0.1300E-03   0.2859E-02   0.2569E-02
   0.4999E+01   0.1300E-03   0.3021E-02   0.2716E-02
   0.5205E+01   0.1300E-03   0.3193E-02   0.2872E-02
   0.5418E+01   0.1300E-03   0.3373E-02   0.3036E-02
   0.5641E+01   0.1300E-03   0.3562E-02   0.3208E-02
   0.5872E+01   0.1300E-03   0.3761E-02   0.3390E-02
   0.6113E+01   0.1300E-03   0.3971E-02   0.3582E-02
   0.6364E+01   0.1300E-03   0.4192E-02   0.3783E-02
   0.6626E+01   0.1300E-03   0.4423E-02   0.3994E-02
   0.6898E+01   0.1300E-03   0.4667E-02   0.4217E-02
   0.7181E+01   0.1300E-03   0.4922E-02   0.4450E-02
   0.7476E+01   0.1300E-03   0.5191E-02   0.4696E-02
   0.7783E+01   0.1300E-03   0.5473E-02   0.4954E-02
   0.8102E+01   0.1300E-03   0.5769E-02   0.5225E-02
   0.8435E+01   0.1300E-03   0.6080E-02   0.5510E-02
   0.8781E+01   0.1300E-03   0.6406E-02   0.5809E-02
   0.9141E+01   0.1300E-03   0.6748E-02   0.6122E-02
   0.9517E+01   0.1300E-03   0.7106E-02   0.6451E-02
   0.9907E+01   0.1300E-03   0.7481E-02   0.6796E-02
   0.1031E+02   0.1300E-03   0.7874E-02   0.7156E-02
   0.1074E+02   0.1300E-03   0.8286E-02   0.7535E-02
   0.1118E+02   0.1300E-03   0.8718E-02   0.7932E-02
   0.1164E+02   0.1300E-03   0.9171E-02   0.8348E-02
   0.1212E+02   0.1300E-03   0.9645E-02   0.8784E-02
   0.1261E+02   0.1300E-03   0.1014E-01   0.9241E-02
   0.1313E+02   0.1300E-03   0.1066E-01   0.9720E-02
   0.1367E+02   0.1300E-03   0.1120E-01   0.1022E-01
   0.1423E+02   0.1300E-03   0.1177E-01   0.1074E-01
   0.1481E+02   0.1300E-03   0.1236E-01   0.1129E-01
   0.1542E+02   0.1300E-03   0.1298E-01   0.1186E-01
   0.1606E+02   0.1300E-03   0.1362E-01   0.1246E-01
   0.1672E+02   0.1300E-03   0.1430E-01   0.1308E-01
   0.1740E+02   0.1300E-03   0.1500E-01   0.1373E-01
   0.1812E+02   0.1300E-03   0.1573E-01   0.1441E-01
   0.1886E+02   0.1300E-03   0.1650E-01   0.1511E-01
   0.1963E+02   0.1300E-03   0.1729E-01   0.1585E-01
   0.2044E+02   0.1300E-03   0.1812E-01   0.1662E-01
   0.2128E+02   0.1300E-03   0.1898E-01   0.1741E-01
   0.2215E+02   0.1300E-03   0.1987E-01   0.1824E-01
   0.2306E+02   0.1300E-03   0.2080E-01   0.1910E-01
   0.2401E+02   0.1300E-03   0.2177E-01   0.2000E-01
   0.2499E+02   0.1300E-03   0.2277E-01   0.2093E-01
   0.2602E+02   0.1300E-03   0.2381E-01   0.2190E-01
   0.2709E+02   0.1300E-03   0.2489E-01   0.2290E-01
   0.2820E+02   0.1300E-03   0.2602E-01   0.2395E-01
