2	0.89	0.99
3	0.97	0.98
4	1.02	0.98
5	1.05	0.98
6	1.07	0.98
7	1.10	0.98
8	1.11	0.98
9	1.10	0.98
10	1.09	0.98
11	1.07	0.97
12	1.13	0.97

14	1.06	0.98
15	1.05	0.97
16	1.03	0.96
17	0.99	0.93
18	0.96	0.93
19	0.95	0.85
20	0.86	0.88

31	1.19	0.96
32	1.20	0.98
33	1.09	0.99
34	0.97	0.99
35	0.91	1.00
36	0.88	0.88

38	1.15	0.98
39	1.08	0.99
40	1.01	0.98
41	1.00	0.97
42	1.00	0.97
43	1.01	0.96
44	1.01	0.95
45	1.02	0.87

46	1.19	0.96
47	1.21	0.98
48	1.23	0.98
49	1.07	1.00

50	1.13	0.97
51	1.09	0.97
52	1.05	0.98
53	1.01	0.99
54	0.91	0.99

55	1.07	0.97
56	1.03	0.99
57	1.01	0.98
58	0.93	0.93

59	1.05	0.97
60	1.01	1.00
61	0.96	0.80

62	1.02	0.88
63	1.01	0.84

