2	0.96	0.98
3	0.98	0.98
4	0.93	0.99
5	0.91	0.99
6	0.94	0.99
7	1.01	0.99
8	1.06	0.99
9	1.07	0.99
10	1.07	0.99
11	1.07	0.98

13	0.95	1.01
14	1.08	0.98
15	1.05	0.96
16	1.04	0.95
17	0.99	0.93
18	0.93	0.89
19	0.80	0.89

30	1.09	0.99
31	1.05	0.99
32	0.99	0.99
33	0.95	0.99
34	0.93	1.00
35	0.92	0.95

37	1.01	0.99
38	1.01	0.99
39	0.99	0.99
40	0.98	0.99
41	0.98	0.98
42	0.99	0.99
43	0.99	0.99
44	1.01	0.95

45	1.09	0.99
46	1.07	0.98
47	1.04	0.99
48	0.91	0.99

49	1.07	0.98
50	1.05	0.99
51	1.00	1.00
52	0.94	1.01
53	0.81	0.99

54	1.03	0.98
55	1.02	0.99
56	0.98	0.98
57	1.0	1.0

58	1.01	0.99
59	0.99	1.02
60	0.92	0.87

61	1.01	0.95
62	1.00	0.95
