    1  84773  34666  46061   4046
    2  87119  36563  48061   2495
    3  92440  40367  52834   -761
    4  99017  45127  57448  -3558
    5 105886  49785  60671  -4570
    6 115332  55001  61803  -1472
    7 124246  59411  61061   3774
    8 131779  62472  60210   9097
    9 137136  63645  58791  14700
   10 138407  63582  57169  17656
   11 136549  61576  54651  20322
   12 132102  59071  51926  21105
   13 129803  57369  49746  22688
   14 128986  56454  47748  24784
   15 128522  55753  46698  26071
   16 128360  53785  44584  29991
   17 124172  51800  42250  30122
   18 120014  49728  40036  30250
   19 115950  47184  37877  30889
   20 111687  45513  35564  30610
   21 108682  44148  34153  30381
   22 106302  42849  32154  31299
   23 102379  41287  30531  30561
   24  99383  40034  29020  30329
   25  97471  38575  28085  30811
   26  94721  37005  26393  31323
   27  91627  35706  25263  30658
   28  89267  34076  24045  31146
   29  87544  33190  23080  31274
   30  84467  32234  22186  30047
   31  82673  30627  21214  30832
   32  80217  29406  20477  30334
   33  77560  28163  19471  29926
   34  76273  26995  18443  30835
   35  73850  25927  17814  30109
   36  72248  24993  17194  30061
   37  70163  24379  16678  29106
   38  68454  23413  16117  28924
   39  67190  22500  15509  29181
   40  65818  21908  14974  28936
   41  64313  21215  14705  28393
   42  62910  20586  13966  28358
   43  61168  19807  13637  27724
   44  59896  19100  13256  27540
   45  58728  18769  12934  27025
   46  57401  17930  12346  27125
   47  56356  17423  12013  26920
   48  55269  16875  11876  26518
   49  53954  16764  11717  25473
   50  52818  15883  11331  25604
   51  52372  15703  10924  25745
   52  50989  15063  10573  25353
   53  49649  14597  10437  24615
   54  48868  14118  10123  24627
   55  47897  13701   9852  24344
   56  46821  13339   9731  23751
   57  46601  13134   9186  24281
   58  45790  12705   9351  23734
   59  44836  12604   9235  22997
   60  44109  12440   8798  22871
   61  43588  12042   8867  22679
   62  42668  11533   8713  22422
   63  41945  11182   8187  22576
   64  41606  10904   8402  22300
   65  40970  10573   8096  22301
   66  39859  10485   7954  21420
   67  39014  10319   7681  21014
   68  38431   9988   7671  20772
