    1    1   3002    430   2062    510
    1    2   2997    622   2069    306
    1    3   3369   1060   2163    146
    1    4   4380   1728   2328    324
    1    5   5589   2768   2630    191
    1    6   6707   3388   2817    502
    1    7   7576   3999   3009    568
    1    8   8448   4392   3002   1054
    1    9   9153   4567   2997   1589
    1   10   9481   4756   3312   1413
    1   11   9966   4803   3304   1859
    1   12  10172   4861   3446   1865
    1   13  10053   4928   3395   1730
    1   14  10123   4844   3495   1784
    1   15   9911   4674   3376   1861
    1   16   9484   4572   3321   1591
    1   17   8999   4410   3181   1408
    1   18   8542   4234   3158   1150
    1   19   8315   4000   3010   1305
    1   20   7993   3716   2859   1418
    1   21   7232   3561   2678    993
    1   22   7033   3238   2575   1220
    1   23   6626   2947   2544   1135
    1   24   6329   2871   2318   1140
    1   25   5966   2574   2121   1271
    1   26   5561   2287   2041   1233
    1   27   5294   2138   1935   1221
    1   28   4987   2005   1894   1088
    1   29   4599   1886   1838    875
    1   30   4323   1667   1723    933
    1   31   4022   1576   1583    863
    1   32   3855   1485   1565    805
    1   33   3565   1332   1464    769
    1   34   3269   1233   1446    590
    1   35   3131   1164   1324    643
    1   36   2892   1124   1224    544
    1   37   2619    970   1172    477
    1   38   2539    943   1109    487
    1   39   2379    830   1061    488
    1   40   2169    778   1021    370
    1   41   2037    723    889    425
    1   42   1834    679    901    254
    1   43   1850    611    800    439
    1   44   1673    602    732    339
    1   45   1587    542    723    322
    1   46   1454    485    700    269
    1   47   1352    451    635    266
    1   48   1276    414    610    252
    1   49   1162    407    554    201
    1   50   1183    380    523    280
    1   51   1050    335    485    230
    1   52    951    377    452    122
    1   53    931    298    440    193
    1   54    873    276    408    189
    1   55    828    296    365    167
    1   56    771    253    386    132
    1   57    694    228    350    116
    1   58    692    204    340    148
    1   59    663    196    275    192
    1   60    610    168    274    168
    1   61    575    185    266    124
    1   62    517    149    220    148
    1   63    471    136    212    123
    1   64    478    152    213    113
    2    1   2626    391   1759    476
    2    2   2729    575   1761    393
    2    3   3041    883   1838    320
    2    4   3896   1520   2173    203
    2    5   5098   2317   2459    322
    2    6   6266   3010   2541    715
    2    7   6929   3404   2558    967
    2    8   7570   3813   2553   1204
    2    9   8216   4116   2854   1246
    2   10   8715   4174   2867   1674
    2   11   9165   4389   2831   1945
    2   12   9355   4401   3028   1926
    2   13   9640   4442   3151   2047
    2   14   9479   4516   3164   1799
    2   15   9266   4392   3242   1632
    2   16   9050   4244   3105   1701
    2   17   8830   3983   3014   1833
    2   18   8296   3932   2735   1629
    2   19   7920   3688   2655   1577
    2   20   7419   3463   2607   1349
    2   21   7194   3213   2496   1485
    2   22   6710   2992   2387   1331
    2   23   6247   2841   2264   1142
    2   24   6017   2673   2147   1197
    2   25   5576   2519   2050   1007
    2   26   5394   2283   1898   1213
    2   27   5060   2111   1852   1097
    2   28   4781   2003   1775   1003
    2   29   4407   1752   1654   1001
    2   30   4277   1630   1622   1025
    2   31   4056   1553   1522    981
    2   32   3642   1411   1362    869
    2   33   3472   1237   1324    911
    2   34   3249   1153   1269    827
    2   35   3041   1104   1202    735
    2   36   2839   1035   1213    591
    2   37   2630    998   1105    527
    2   38   2496    918   1130    448
    2   39   2382    834    978    570
    2   40   2161    757    905    499
    2   41   2052    717    906    429
    2   42   1883    644    840    399
    2   43   1728    616    772    340
    2   44   1611    576    774    261
    2   45   1568    523    719    326
    2   46   1406    490    695    221
    2   47   1392    492    623    277
    2   48   1253    427    621    205
    2   49   1163    405    563    195
    2   50   1137    335    506    296
    2   51   1065    366    508    191
